------------------------------------------ ЭЛЕКТРОЭНЕРГЕНИКА
GEMC-гдр;B;GEMC;1;1
MDMG-гдр;B;MDMG;1;1
ЦМТ (Центр Международной Торговли);B;WTCM;1;1
Европейская Электротехника;B;EELT;1;1
ДИОД;B;DIOD;1;1
Саратовский НПЗ;B;KRKN;1;1
Саратовский НПЗ ап;B;KRKNP;1;1
Генетико;B;GECO;1;1
Промомед;B;PRMD;1;1
ОЗОН Фармацевтика;B;OZPH;1;1
Ламбумиз;B;LMBZ;1;1
-------------------------------------------- СГЕНЕРИРОВАННОЕ
--Полюс;B;PLZL;1;0.1
--ЯНДЕКС;B;YDEX;1;0.1
--MDMG-ао;B;MDMG;1;0.1
--Акрон;B;AKRN;1;0.1
--Лента ао;B;LENT;1;0.1
--ЕвроТранс;B;EUTR;1;0.1
--ФосАгро ао;B;PHOR;1;0.1
--ГМКНорНик;B;GMKN;1;0.1
--МКПАО ЮМГ;B;GEMC;1;0.1
--Хэдхантер;B;HEAD;1;0.1
--Новатэк ао;B;NVTK;1;0.1
--Займер ао;B;ZAYM;1;0.1
--iИВА;B;IVAT;1;0.1
--Ростел -ао;B;RTKM;1;0.1
--Т-Техно ао;B;T;1;0.1
--НМТП ао;B;NMTP;1;0.1
--ГАЗПРОМ ао;B;GAZP;1;0.1
--ЭН+ГРУП ао;B;ENPG;1;0.1
--МГКЛ;B;MGKL;1;0.1
--МосБиржа;B;MOEX;1;0.1
--КЦ ИКС 5;B;X5;1;0.1
--Транснф ап;B;TRNFP;1;0.1
--РУСАЛ ао;B;RUAL;1;0.1
--ИнтерРАОао;B;IRAO;1;0.1
--Европлан;B;LEAS;1;0.1
--МТС-ао;B;MTSS;1;0.1
--Роснефть;B;ROSN;1;0.1
--Татнфт 3ао;B;TATN;1;0.1
--ВИ.ру;B;VSEH;1;0.1
--ММК;B;MAGN;1;0.1
--НоваБев ао;B;BELU;1;0.1
--ЧеркизГ-ао;B;GCHE;1;0.1
--Аэрофлот;B;AFLT;1;0.1
--Россети;B;FEES;1;0.1
--Ренессанс;B;RENI;1;0.1
--Газпрнефть;B;SIBN;1;0.1
--ХЭНДЕРСОН;B;HNFG;1;0.1
--СОЛЛЕРС;B;SVAV;1;0.1
--ЭЛ5Энер ао;B;ELFV;1;0.1
--СевСт-ао;B;CHMF;1;0.1
--НЛМК ао;B;NLMK;1;0.1
--ЛУКОЙЛ;B;LKOH;1;0.1
--Совкомфлот;B;FLOT;1;0.1
--ПИК ао;B;PIKK;1;0.1
--Башнефт ао;B;BANE;1;0.1
--М.видео;B;MVID;1;0.1
--Мечел ао;B;MTLR;1;0.1
--РуссНфт ао;B;RNFT;1;0.1
--НКНХ ао;B;NKNC;1;0.1
--Таттел. ао;B;TTLK;1;0.1
--iВУШХолднг;B;WUSH;1;0.1
--ТМК ао;B;TRMK;1;0.1
--РусГидро;B;HYDR;1;0.1
--НКХП ао;B;NKHP;1;0.1
--Система ао;B;AFKS;1;0.1
--ВСМПО-АВСМ;B;VSMO;1;0.1
--КАМАЗ;B;KMAZ;1;0.1
--Самолет ао;B;SMLT;1;0.1
--Озон;B;OZON;1;0.1
--ДВМП ао;B;FESH;1;0.1
--Куйбазот;B;KAZT;1;0.1
--ОргСинт ао;B;KZOS;1;0.1
--Русагро;B;RAGR;1;0.1
--Селигдар;B;SELG;1;0.1
--Магнит ао;B;MGNT;1;0.1
--АЛРОСА ао;B;ALRS;1;0.1
--ЛСР ао;B;LSRG;1;0.1
--МКПАО "ВК";B;VKCO;1;0.1
--Распадская;B;RASP;1;0.1
--Сережа;B;SGZH;1;0.1
--ГТМ ао;B;GTRK;1;0.1
--ИНАРКТИКА;B;AQUA;1;0.1
--iПозитив;B;POSI;1;0.1
